F,Location Description,D,Location Name,Street Start,Street End,Enforcement Hours,Enforcement Days,Position,Route,Notes,LOCATION ID,Video Timestamp,Ryan QC
,EB 6th St @ Wall St,EB,6th St,Wall St,San Julian St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Offset,720,Lane ends halfway to the end of the block,"EB|6th St @ Wall St|7,19|12345|BD",EB 720_6.MP4 0:40,x
,EB 6th St @ Crocker St,EB,6th St,Crocker St,Towne Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Offset,720,"No sign, used previous block days/times","EB|6th St @ Crocker St|7,19|12345|BD",EB 720_6.MP4 1:22,x
,EB 6th St @ Towne Ave,EB,6th St,Towne Ave,Stanford Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Offset,720,,"EB|6th St @ Towne Ave|7,19|12345|BD",EB 720_6.MP4 1:31,x
,EB 6th St @ Stanford Ave,EB,6th St,Stanford Ave,Gladys Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Offset,720,"No sign, used previous block days/times","EB|6th St @ Stanford Ave|7,19|12345|BD",EB 720_6.MP4 1:36,x
,EB 6th St @ Gladys Ave,EB,6th St,Gladys Ave,Ceres Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Offset,720,,"EB|6th St @ Gladys Ave|7,19|12345|BD",EB 720_6.MP4 1:49,x
,EB 6th St @ Ceres Ave,EB,6th St,Ceres Ave,Kohler St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Offset,720,"No sign, used previous block days/times, Lane ends halfway to the end of the block","EB|6th St @ Ceres Ave|7,19|12345|BD",EB 720_6.MP4 1:56,x
,WB 5th St @ Central Ave,WB,5th St,Central Ave,Gladys Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Central Ave|7,19|12345|BD",WB 720_1.MP4 1:13,x
,WB 5th St @ Gladys Ave,WB,5th St,Gladys Ave,Stanford Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Gladys Ave|7,19|12345|BD",WB 720_1.MP4 1:16,x
,WB 5th St @ Stanford Ave,WB,5th St,Stanford Ave,Towne Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,"No sign, used previous block days/times","WB|5th St @ Stanford Ave|7,19|12345|BD",WB 720_1.MP4 1:22,x
,WB 5th St @ Towne Ave,WB,5th St,Towne Ave,Crocker St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Towne Ave|7,19|12345|BD",WB 720_1.MP4 1:32,x
,WB 5th St @ Crocker St,WB,5th St,Crocker St,San Pedro St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Crocker St|7,19|12345|BD",WB 720_1.MP4 1:39,x
,WB 5th St @ San Pedro St,WB,5th St,San Pedro St,San Julian St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ San Pedro St|7,19|12345|BD",WB 720_1.MP4 2:29,x
,WB 5th St @ San Julian St,WB,5th St,San Julian St,Wall St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ San Julian St|7,19|12345|BD",WB 720_1.MP4 2:40,x
,WB 5th St @ Wall St,WB,5th St,Wall St,Maple Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Offset,720,,"WB|5th St @ Wall St|7,19|12345|BD",WB 720_1.MP4 2:48,x
,WB 5th St @ Maple Ave,WB,5th St,Maple Ave,Los Angeles St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Maple Ave|7,19|12345|BD",WB 720_1.MP4 2:57,x
,WB 5th St @ Los Angeles St,WB,5th St,Los Angeles St,Main St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Los Angeles St|7,19|12345|BD",WB 720_1.MP4 4:32,x
,WB 5th St @ Main St,WB,5th St,Main St,Spring St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Main St|7,19|12345|BD",WB 720_1.MP4 4:54,x
,WB 5th St @ Spring St,WB,5th St,Spring St,Broadway,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Spring St|7,19|12345|BD",WB 720_1.MP4 5:18,x
,WB 5th St @ Broadway,WB,5th St,Broadway,Hill St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Broadway|7,19|12345|BD",WB 720_1.MP4 6:33,x
,WB 5th St @ Hill St,WB,5th St,Hill St,Olive St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"WB|5th St @ Hill St|7,19|12345|BD",WB 720_1.MP4 7:00,x
